source,sink
BCL2L1,BAX
BCL2L1,BAK1
ATM,TP53
TP53,APAF1
TP53,BID
TP53,TNFRSF10B
TP53,TNFRSF10A
TP53,FAS
TP53,BAX
TP53,BAK1
TP53,PMAIP1
TP53,BBC3
TP53,TP53AIP1
TP53,PIDD1
BCL2,BAX
BCL2,BAK1
BIRC2,CASP9
BIRC2,CASP7
BIRC2,CASP3
BIRC3,CASP9
BIRC3,CASP7
BIRC3,CASP3
XIAP,CASP9
XIAP,CASP7
XIAP,CASP3
BIRC5,CASP9
BIRC5,CASP7
BIRC5,CASP3
CASP9,CASP7
CASP9,CASP3
CASP9,CASP6
CASP9,PARP2
CASP9,PARP3
CASP9,PARP1
CASP9,PARP4
CASP7,PARP2
CASP7,PARP3
CASP7,PARP1
CASP7,PARP4
CASP7,ACTB
CASP7,ACTG1
CASP3,DFFA
CASP3,SPTA1
CASP3,SPTAN1
CASP3,PARP2
CASP3,PARP3
CASP3,PARP1
CASP3,PARP4
CASP3,ACTB
CASP3,ACTG1
BAD,BCL2
NFKB1,BCL2L1
NFKB1,BIRC2
NFKB1,BIRC3
NFKB1,XIAP
NFKB1,BIRC5
NFKB1,CFLAR
NFKB1,TRAF2
NFKB1,PTPN13
NFKB1,GADD45G
NFKB1,GADD45A
NFKB1,GADD45B
NFKB1,BCL2A1
NFKB1,TRAF1
RELA,BCL2L1
RELA,BIRC2
RELA,BIRC3
RELA,XIAP
RELA,BIRC5
RELA,CFLAR
RELA,TRAF2
RELA,PTPN13
RELA,GADD45G
RELA,GADD45A
RELA,GADD45B
RELA,BCL2A1
RELA,TRAF1
CASP6,LMNA
CASP6,LMNB1
CASP6,LMNB2
CASP6,ACTB
CASP6,ACTG1
NFKBIA,NFKB1
NFKBIA,RELA
APAF1,CASP9
CYCS,CASP9
CYCS,APAF1
CASP8,CASP7
CASP8,CASP3
CASP8,CASP6
CASP8,BID
CASP10,BID
CAPN1,CASP12
CAPN2,CASP12
AKT3,BAD
AKT3,CHUK
AKT3,IKBKB
AKT3,IKBKG
AKT1,BAD
AKT1,CHUK
AKT1,IKBKB
AKT1,IKBKG
AKT2,BAD
AKT2,CHUK
AKT2,IKBKB
AKT2,IKBKG
MAP3K14,CHUK
MAP3K14,IKBKB
MAP3K14,IKBKG
CHUK,NFKBIA
IKBKB,NFKBIA
IKBKG,NFKBIA
CFLAR,CASP8
CFLAR,CASP10
PIK3CA,PDPK1
PIK3CB,PDPK1
PIK3CD,PDPK1
PIK3R1,PDPK1
PIK3R2,PDPK1
PIK3R3,PDPK1
TRAF2,MAP3K14
TRAF2,MAP3K5
TRAF2,DAB2IP
TRADD,CASP8
TRADD,CASP10
FADD,CASP8
FADD,CASP10
CSF2RB,PIK3CA
CSF2RB,PIK3CB
CSF2RB,PIK3CD
CSF2RB,PIK3R1
CSF2RB,PIK3R2
CSF2RB,PIK3R3
CSF2RB,HRAS
CSF2RB,KRAS
CSF2RB,NRAS
IL3RA,PIK3CA
IL3RA,PIK3CB
IL3RA,PIK3CD
IL3RA,PIK3R1
IL3RA,PIK3R2
IL3RA,PIK3R3
IL3RA,HRAS
IL3RA,KRAS
IL3RA,NRAS
NTRK1,PIK3CA
NTRK1,PIK3CB
NTRK1,PIK3CD
NTRK1,PIK3R1
NTRK1,PIK3R2
NTRK1,PIK3R3
NTRK1,HRAS
NTRK1,KRAS
NTRK1,NRAS
TNFRSF1A,TRAF2
TNFRSF1A,RIPK1
TNFRSF1A,TRADD
TNFRSF1A,FADD
TNFRSF10B,FADD
TNFRSF10A,FADD
FAS,FADD
FAS,DAXX
IL3,CSF2RB
IL3,IL3RA
NGF,NTRK1
TNF,TNFRSF1A
TNFSF10,TNFRSF10B
TNFSF10,TNFRSF10A
FASLG,FAS
DIABLO,BIRC2
DIABLO,BIRC3
DIABLO,XIAP
DIABLO,BIRC5
SEPTIN4,BIRC2
SEPTIN4,BIRC3
SEPTIN4,XIAP
SEPTIN4,BIRC5
HTRA2,BIRC2
HTRA2,BIRC3
HTRA2,XIAP
HTRA2,BIRC5
PMAIP1,BCL2L1
PMAIP1,BCL2
BBC3,BCL2L1
BBC3,BCL2
ERN1,MAP3K5
CASP12,CASP7
CASP12,CASP3
DAXX,MAP3K5
MAP3K5,MAPK8
MAP3K5,MAPK9
MAP3K5,MAPK10
MAPK8,BCL2L1
MAPK8,BCL2
MAPK8,BAD
MAPK8,BID
MAPK8,JUN
MAPK8,FOS
MAPK9,BCL2L1
MAPK9,BCL2
MAPK9,BAD
MAPK9,BID
MAPK9,JUN
MAPK9,FOS
MAPK10,BCL2L1
MAPK10,BCL2
MAPK10,BAD
MAPK10,BID
MAPK10,JUN
MAPK10,FOS
DAB2IP,MAP3K5
JUN,TP53
JUN,FAS
JUN,FASLG
JUN,BCL2L11
JUN,HRK
FOS,TP53
FOS,FAS
FOS,FASLG
FOS,BCL2L11
FOS,HRK
BCL2L11,BCL2L1
BCL2L11,BCL2
BCL2L11,BAX
CTSC,BCL2L1
CTSC,BCL2
CTSC,BIRC2
CTSC,BIRC3
CTSC,XIAP
CTSC,BIRC5
CTSC,BID
CTSB,BCL2L1
CTSB,BCL2
CTSB,BIRC2
CTSB,BIRC3
CTSB,XIAP
CTSB,BIRC5
CTSB,BID
CTSD,BCL2L1
CTSD,BCL2
CTSD,BIRC2
CTSD,BIRC3
CTSD,XIAP
CTSD,BIRC5
CTSD,BID
CTSH,BCL2L1
CTSH,BCL2
CTSH,BIRC2
CTSH,BIRC3
CTSH,XIAP
CTSH,BIRC5
CTSH,BID
CTSK,BCL2L1
CTSK,BCL2
CTSK,BIRC2
CTSK,BIRC3
CTSK,XIAP
CTSK,BIRC5
CTSK,BID
CTSL,BCL2L1
CTSL,BCL2
CTSL,BIRC2
CTSL,BIRC3
CTSL,XIAP
CTSL,BIRC5
CTSL,BID
CTSV,BCL2L1
CTSV,BCL2
CTSV,BIRC2
CTSV,BIRC3
CTSV,XIAP
CTSV,BIRC5
CTSV,BID
CTSO,BCL2L1
CTSO,BCL2
CTSO,BIRC2
CTSO,BIRC3
CTSO,XIAP
CTSO,BIRC5
CTSO,BID
CTSS,BCL2L1
CTSS,BCL2
CTSS,BIRC2
CTSS,BIRC3
CTSS,XIAP
CTSS,BIRC5
CTSS,BID
CTSW,BCL2L1
CTSW,BCL2
CTSW,BIRC2
CTSW,BIRC3
CTSW,XIAP
CTSW,BIRC5
CTSW,BID
CTSZ,BCL2L1
CTSZ,BCL2
CTSZ,BIRC2
CTSZ,BIRC3
CTSZ,XIAP
CTSZ,BIRC5
CTSZ,BID
CTSF,BCL2L1
CTSF,BCL2
CTSF,BIRC2
CTSF,BIRC3
CTSF,XIAP
CTSF,BIRC5
CTSF,BID
DDIT3,BCL2L1
DDIT3,BCL2
EIF2AK3,EIF2S1
EIF2S1,ATF4
ATF4,DDIT3
PDPK1,AKT3
PDPK1,AKT1
PDPK1,AKT2
CASP2,BID
PIDD1,BID
GZMB,DFFA
GZMB,CASP7
GZMB,CASP3
GZMB,BID
GZMB,CASP8
GZMB,LMNA
GZMB,LMNB1
GZMB,LMNB2
GZMB,PARP2
GZMB,PARP3
GZMB,PARP1
GZMB,PARP4
GZMB,TUBA1B
GZMB,TUBA3E
GZMB,TUBA3D
GZMB,TUBA8
GZMB,TUBA4A
GZMB,TUBA3C
GZMB,TUBA1A
GZMB,TUBAL3
GZMB,TUBA1C
GZMB,MCL1
MCL1,BCL2L11
HRAS,RAF1
KRAS,RAF1
NRAS,RAF1
RAF1,MAP2K1
RAF1,MAP2K2
MAP2K1,MAPK1
MAP2K1,MAPK3
MAP2K2,MAPK1
MAP2K2,MAPK3
MAPK1,BCL2
MAPK3,BCL2
